date,code,name
2025-01-07,603815,交建股份
2025-01-07,603893,瑞芯微
2025-01-07,603912,佳力图
2025-01-07,603950,长源东谷
2025-01-07,605033,美邦股份
2025-01-07,605060,联德股份
2025-01-07,605598,上海港湾
2025-01-07,688010,福光股份
2025-01-07,688041,海光信息
2025-01-07,688068,热景生物
2025-01-07,688071,华依科技
2025-01-07,688141,杰华特
2025-01-07,688168,安博通
2025-01-07,688252,天德钰
2025-01-07,688256,寒武纪
2025-01-07,688313,仕佳光子
2025-01-07,688339,亿华通
2025-01-07,688486,龙迅股份
2025-01-07,688593,新相微
2025-01-07,688661,和林微纳
2025-01-07,688668,鼎通科技
2025-01-07,688800,瑞可达
2025-01-08,000533,顺钠股份
2025-01-08,000573,粤宏远A
2025-01-08,000592,平潭发展
2025-01-08,000820,*ST节能
2025-01-08,000882,华联股份
2025-01-08,000951,中国重汽
2025-01-08,001231,农心科技
2025-01-08,001391,国货航
2025-01-08,002031,巨轮智能
2025-01-08,002122,ST汇洲
2025-01-08,002131,利欧股份
2025-01-08,002162,悦心健康
2025-01-08,002173,创新医疗
2025-01-08,002175,东方智造
2025-01-08,002178,延华智能
2025-01-08,002184,海得控制
2025-01-08,002187,广百股份
2025-01-08,002193,如意集团
2025-01-08,002313,日海智能
2025-01-08,002323,雅博股份
2025-01-08,002354,天娱数科
2025-01-08,002364,中恒电气
2025-01-08,002379,宏创控股
2025-01-08,002403,爱仕达
2025-01-08,002418,康盛股份
2025-01-08,002449,国星光电
2025-01-08,002480,新筑股份
2025-01-08,002611,东方精工
2025-01-08,002692,远程股份
2025-01-08,002717,ST岭南
2025-01-08,002730,电光科技
2025-01-08,002733,雄韬股份
2025-01-08,002779,中坚科技
2025-01-08,002918,蒙娜丽莎
2025-01-08,002989,中天精装
2025-01-08,003021,兆威机电
2025-01-08,300044,ST赛为
2025-01-08,300108,*ST吉药
2025-01-08,300260,新莱应材
2025-01-08,300276,三丰智能
2025-01-08,300328,宜安科技
2025-01-08,300715,凯伦股份
2025-01-08,300807,天迈科技
2025-01-08,301001,凯淳股份
2025-01-08,301009,可靠股份
2025-01-08,301157,华塑科技
2025-01-08,301187,欧圣电气
2025-01-08,301606,绿联科技
2025-01-08,600078,澄星股份
2025-01-08,600257,大湖股份
2025-01-08,600513,联环药业
2025-01-08,600693,东百集团
2025-01-08,600807,济高发展
2025-01-08,600824,益民集团
2025-01-08,600854,春兰股份
2025-01-08,600858,银座股份
2025-01-08,600889,南京化纤
2025-01-08,603015,弘讯科技
2025-01-08,603063,禾望电气
2025-01-08,603070,万控智造
2025-01-08,603118,共进股份
2025-01-08,603269,海鸥股份
2025-01-08,603339,四方科技
2025-01-08,603366,日出东方
2025-01-08,603683,晶华新材
2025-01-08,603699,纽威股份
2025-01-08,603809,豪能股份
2025-01-08,603893,瑞芯微
2025-01-08,603990,麦迪科技
2025-01-08,605033,美邦股份
2025-01-08,605118,力鼎光电
2025-01-08,688035,德邦科技
2025-01-08,688123,聚辰股份
2025-01-08,688165,埃夫特
2025-01-08,688591,泰凌微
2025-01-08,688768,容知日新
2025-01-09,000063,中兴通讯
2025-01-09,000573,粤宏远A
2025-01-09,000668,*ST荣控
2025-01-09,000820,*ST节能
2025-01-09,001389,广合科技
2025-01-09,001391,国货航
2025-01-09,002030,达安基因
2025-01-09,002050,三花智控
2025-01-09,002131,利欧股份
2025-01-09,002170,芭田股份
2025-01-09,002184,海得控制
2025-01-09,002218,拓日新能
2025-01-09,002313,日海智能
2025-01-09,002400,省广集团
2025-01-09,002418,康盛股份
2025-01-09,002484,江海股份
2025-01-09,002536,飞龙股份
2025-01-09,002547,春兴精工
2025-01-09,002552,宝鼎科技
2025-01-09,002571,德力股份
2025-01-09,002582,好想你
2025-01-09,002692,远程股份
2025-01-09,002713,*ST东易
2025-01-09,002730,电光科技
2025-01-09,002733,雄韬股份
2025-01-09,002811,郑中设计
2025-01-09,002815,崇达技术
2025-01-09,002878,元隆雅图
2025-01-09,002879,长缆科技
2025-01-09,002899,英派斯
2025-01-09,002917,金奥博
2025-01-09,003005,竞业达
2025-01-09,003021,兆威机电
2025-01-09,003042,中农联合
2025-01-09,300108,*ST吉药
2025-01-09,300382,斯莱克
2025-01-09,300488,恒锋工具
2025-01-09,300522,世名科技
2025-01-09,300715,凯伦股份
2025-01-09,300809,华辰装备
2025-01-09,300822,贝仕达克
2025-01-09,300935,盈建科
2025-01-09,300953,震裕科技
2025-01-09,300984,金沃股份
2025-01-09,301000,肇民科技
2025-01-09,301001,凯淳股份
2025-01-09,301176,逸豪新材
2025-01-09,301366,一博科技
2025-01-09,301377,鼎泰高科
2025-01-09,301383,天键股份
2025-01-09,301628,强达电路
2025-01-09,600126,杭钢股份
2025-01-09,600128,苏豪弘业
2025-01-09,600148,长春一东
2025-01-09,600215,派斯林
2025-01-09,600241,时代万恒
2025-01-09,600316,洪都航空
2025-01-09,600397,江钨装备
2025-01-09,600410,华胜天成
2025-01-09,600481,双良节能
2025-01-09,600601,方正科技
2025-01-09,600807,济高发展
2025-01-09,600858,银座股份
2025-01-09,601011,宝泰隆
2025-01-09,603002,宏昌电子
2025-01-09,603009,北特科技
2025-01-09,603015,弘讯科技
2025-01-09,603029,天鹅股份
2025-01-09,603063,禾望电气
2025-01-09,603068,博通集成
2025-01-09,603070,万控智造
2025-01-09,603089,正裕工业
2025-01-09,603118,共进股份
2025-01-09,603121,华培动力
2025-01-09,603138,海量数据
2025-01-09,603186,华正新材
2025-01-09,603228,景旺电子
2025-01-09,603255,鼎际得
2025-01-09,603256,宏和科技
2025-01-09,603269,海鸥股份
2025-01-09,603305,旭升集团
2025-01-09,603336,宏辉果蔬
2025-01-09,603667,五洲新春
2025-01-09,603682,锦和商管
2025-01-09,603683,晶华新材
2025-01-09,603773,沃格光电
2025-01-09,603777,来伊份
2025-01-09,603809,豪能股份
2025-01-09,603838,*ST四通
2025-01-09,603859,能科科技
2025-01-09,603920,世运电路
2025-01-09,603990,麦迪科技
2025-01-09,605033,美邦股份
2025-01-09,605058,澳弘电子
2025-01-09,605118,力鼎光电
2025-01-09,605258,协和电子
2025-01-09,605398,新炬网络
2025-01-09,688507,索辰科技
2025-01-09,688787,海天瑞声
2025-01-10,000561,烽火电子
2025-01-10,000573,粤宏远A
2025-01-10,002042,华孚时尚
2025-01-10,002187,广百股份
2025-01-10,002265,建设工业
2025-01-10,002346,柘中股份
2025-01-10,002534,西子洁能
2025-01-10,002536,飞龙股份
2025-01-10,002571,德力股份
2025-01-10,002629,仁智股份
2025-01-10,002660,茂硕电源
2025-01-10,002686,亿利达
2025-01-10,002698,博实股份
2025-01-10,002811,郑中设计
2025-01-10,002917,金奥博
2025-01-10,300100,双林股份
2025-01-10,300344,*ST立方
2025-01-10,300640,德艺文创
2025-01-10,300669,沪宁股份
2025-01-10,300684,中石科技
2025-01-10,300765,新诺威
2025-01-10,300953,震裕科技
2025-01-10,301000,肇民科技
2025-01-10,301413,安培龙
2025-01-10,301511,德福科技
2025-01-10,600053,九鼎投资
2025-01-10,600128,苏豪弘业
2025-01-10,600202,哈空调
2025-01-10,600530,交大昂立
2025-01-10,600601,方正科技
2025-01-10,600650,锦江在线
2025-01-10,600657,信达地产
2025-01-10,600967,内蒙一机
2025-01-10,603015,弘讯科技
2025-01-10,603068,博通集成
2025-01-10,603072,天和磁材
2025-01-10,603086,先达股份
2025-01-10,603166,福达股份
2025-01-10,603188,亚邦股份
2025-01-10,603283,赛腾股份
2025-01-10,603666,亿嘉和
2025-01-10,603667,五洲新春
2025-01-10,603777,来伊份
2025-01-10,603990,麦迪科技
2025-01-10,605033,美邦股份
2025-01-10,605178,时空科技
2025-01-10,605488,福莱新材
2025-01-10,688368,晶丰明源
2025-01-10,688603,天承科技
2025-01-13,000055,方大集团
2025-01-13,000421,南京公用
2025-01-13,000631,顺发恒能
2025-01-13,000633,合金投资
2025-01-13,000679,大连友谊
2025-01-13,000701,厦门信达
2025-01-13,000737,北方铜业
2025-01-13,000820,*ST节能
2025-01-13,000972,*ST中基
2025-01-13,001282,三联锻造
2025-01-13,002133,广宇集团
2025-01-13,002164,宁波东力
2025-01-13,002165,红宝丽
2025-01-13,002207,准油股份
2025-01-13,002313,日海智能
2025-01-13,002418,康盛股份
2025-01-13,002497,雅化集团
2025-01-13,002582,好想你
2025-01-13,002599,盛通股份
2025-01-13,002692,远程股份
2025-01-13,002725,跃岭股份
2025-01-13,002901,大博医疗
2025-01-13,002913,奥士康
2025-01-13,002917,金奥博
2025-01-13,002933,新兴装备
2025-01-13,002992,宝明科技
2025-01-13,300022,吉峰科技
2025-01-13,300167,ST迪威迅
2025-01-13,300191,潜能恒信
2025-01-13,300276,三丰智能
2025-01-13,300290,荣科科技
2025-01-13,300307,慈星股份
2025-01-13,300344,*ST立方
2025-01-13,300377,赢时胜
2025-01-13,300412,迦南科技
2025-01-13,301413,安培龙
2025-01-13,301518,长华化学
2025-01-13,301600,慧翰股份
2025-01-13,301608,博实结
2025-01-13,600128,苏豪弘业
2025-01-13,600191,华资实业
2025-01-13,600202,哈空调
2025-01-13,600423,柳化股份
2025-01-13,600507,方大特钢
2025-01-13,600615,鑫源智造
2025-01-13,600793,宜宾纸业
2025-01-13,600800,渤海化学
2025-01-13,603086,先达股份
2025-01-13,603106,恒银科技
2025-01-13,603111,康尼机电
2025-01-13,603158,腾龙股份
2025-01-13,603166,福达股份
2025-01-13,603669,灵康药业
2025-01-13,603777,来伊份
2025-01-13,603815,交建股份
2025-01-13,603991,至正股份
2025-01-13,605033,美邦股份
2025-01-13,688048,长光华芯
2025-01-13,688448,磁谷科技
2025-01-13,688502,茂莱光学
2025-01-13,688700,东威科技
2025-01-14,000016,深康佳A
2025-01-14,000056,皇庭国际
2025-01-14,000158,常山北明
2025-01-14,000421,南京公用
2025-01-14,000504,*ST生物
2025-01-14,000531,穗恒运A
2025-01-14,000631,顺发恒能
2025-01-14,000679,大连友谊
2025-01-14,000691,*ST亚太
2025-01-14,000777,中核科技
2025-01-14,000882,华联股份
2025-01-14,000887,中鼎股份
2025-01-14,001319,铭科精技
2025-01-14,002031,巨轮智能
2025-01-14,002050,三花智控
2025-01-14,002066,瑞泰科技
2025-01-14,002076,*ST星光
2025-01-14,002103,广博股份
2025-01-14,002115,三维通信
2025-01-14,002122,ST汇洲
2025-01-14,002131,利欧股份
2025-01-14,002134,天津普林
2025-01-14,002137,实益达
2025-01-14,002139,拓邦股份
2025-01-14,002164,宁波东力
2025-01-14,002175,东方智造
2025-01-14,002177,御银股份
2025-01-14,002209,达意隆
2025-01-14,002265,建设工业
2025-01-14,002269,美邦服饰
2025-01-14,002291,遥望科技
2025-01-14,002322,理工能科
2025-01-14,002323,雅博股份
2025-01-14,002328,新朋股份
2025-01-14,002335,科华数据
2025-01-14,002346,柘中股份
2025-01-14,002347,泰尔股份
2025-01-14,002350,北京科锐
2025-01-14,002354,天娱数科
2025-01-14,002366,融发核电
2025-01-14,002396,星网锐捷
2025-01-14,002403,爱仕达
2025-01-14,002418,康盛股份
2025-01-14,002426,胜利精密
2025-01-14,002441,众业达
2025-01-14,002468,申通快递
2025-01-14,002526,山东矿机
2025-01-14,002529,*ST海源
2025-01-14,002530,金财互联
2025-01-14,002583,海能达
2025-01-14,002593,日上集团
2025-01-14,002605,姚记科技
2025-01-14,002611,东方精工
2025-01-14,002630,ST华西
2025-01-14,002636,金安国纪
2025-01-14,002660,茂硕电源
2025-01-14,002670,国盛证券
2025-01-14,002691,冀凯股份
2025-01-14,002717,ST岭南
2025-01-14,002806,华锋股份
2025-01-14,002815,崇达技术
2025-01-14,002826,易明医药
2025-01-14,002853,皮阿诺
2025-01-14,002878,元隆雅图
2025-01-14,002903,宇环数控
2025-01-14,002917,金奥博
2025-01-14,002922,伊戈尔
2025-01-14,002960,青鸟消防
2025-01-14,002969,嘉美包装
2025-01-14,003003,天元股份
2025-01-14,003042,中农联合
2025-01-14,300007,汉威科技
2025-01-14,300024,机器人
2025-01-14,300033,同花顺
2025-01-14,300044,ST赛为
2025-01-14,300058,蓝色光标
2025-01-14,300063,天龙集团
2025-01-14,300067,安诺其
2025-01-14,300071,福石控股
2025-01-14,300077,国民技术
2025-01-14,300085,银之杰
2025-01-14,300141,和顺电气
2025-01-14,300152,ST新动力
2025-01-14,300173,ST福能
2025-01-14,300182,捷成股份
2025-01-14,300231,银信科技
2025-01-14,300242,佳云科技
2025-01-14,300245,天玑科技
2025-01-14,300255,常山药业
2025-01-14,300280,紫天退
2025-01-14,300292,吴通控股
2025-01-14,300296,利亚德
2025-01-14,300307,慈星股份
2025-01-14,300323,华灿光电
2025-01-14,300339,润和软件
2025-01-14,300344,*ST立方
2025-01-14,300365,恒华科技
