bs_code,name,target_date,buy_date,entry_px,exit_date,exit_px,exit_reason,ret,pnl,ret_sum_by_stock
sh.600839,四川长虹,2025-08-20,2025-08-20,12.23,2025-09-30,10.47,hold_30d_close,-0.14450842191332786,-0.14450842191332786,-0.14450842191332786
sh.600843,上工申贝,2025-10-15,2025-10-15,13.75,2025-11-25,10.96,hold_30d_close,-0.2035090909090908,-0.2035090909090908,-0.2035090909090908
sh.600844,金煤科技,2025-04-15,2025-04-15,3.18,2025-05-29,3.13,hold_30d_close,-0.01632327044025168,-0.01632327044025168,-0.08171200283461791
sh.600844,金煤科技,2025-06-24,2025-06-24,3.55,2025-08-04,3.32,hold_30d_close,-0.06538873239436623,-0.06538873239436623,-0.08171200283461791
sh.600848,上海临港,2025-09-25,2025-09-25,11.0,2025-11-13,13.29,hold_30d_close,0.20758181818181803,0.20758181818181803,0.20758181818181803
sh.600855,航天长峰,2025-11-25,2025-11-25,17.02,2026-01-07,26.24,hold_30d_close,0.5411156286721502,0.5411156286721502,0.5411156286721502
sh.600857,宁波中百,2025-09-23,2025-09-23,15.0,2025-11-11,17.15,hold_30d_close,0.14273333333333332,0.14273333333333332,0.14273333333333332
sh.600860,京城股份,2025-08-18,2025-08-18,14.31,2025-09-26,12.19,hold_30d_close,-0.14874814814814824,-0.14874814814814824,-0.14874814814814824
sh.600864,哈投股份,2025-07-14,2025-07-14,6.82,2025-08-22,7.93,hold_30d_close,0.16215659824046907,0.16215659824046907,0.16215659824046907
sh.600865,百大集团,2025-09-05,2025-09-05,10.47,2025-10-24,9.46,hold_30d_close,-0.09706609360076408,-0.09706609360076408,0.14136703083970148
sh.600865,百大集团,2025-12-12,2025-12-12,11.17,2026-01-26,13.84,hold_30d_close,0.23843312444046555,0.23843312444046555,0.14136703083970148
sh.600868,梅雁吉祥,2025-10-15,2025-10-15,3.3,2025-11-25,2.87,hold_30d_close,-0.13090303030303024,-0.13090303030303024,-0.13090303030303024
sh.600871,石化油服,2025-06-16,2025-06-16,2.1,2025-07-25,2.04,hold_30d_close,-0.02917142857142858,-0.02917142857142858,-0.2264098439375752
sh.600871,石化油服,2025-10-22,2025-10-22,2.45,2025-12-02,2.33,hold_30d_close,-0.04957959183673473,-0.04957959183673473,-0.2264098439375752
sh.600871,石化油服,2025-10-23,2025-10-23,2.72,2025-12-03,2.32,hold_30d_close,-0.1476588235294119,-0.1476588235294119,-0.2264098439375752
sh.600875,东方电气,2025-07-22,2025-07-22,21.15478768,2025-09-01,19.87,hold_30d_close,-0.06133271447742546,-0.06133271447742546,0.035608269129132036
sh.600875,东方电气,2025-12-15,2025-12-15,24.4,2026-01-27,26.78,hold_30d_close,0.0969409836065575,0.0969409836065575,0.035608269129132036
sh.600876,凯盛新能,2025-06-23,2025-06-23,10.92,2025-08-01,10.98,hold_30d_close,0.004894505494505475,0.004894505494505475,0.004894505494505475
sh.600877,电科芯片,2025-08-12,2025-08-12,13.9,2025-09-22,14.09,hold_30d_close,0.013069064748201398,0.013069064748201398,0.25428724656638313
