mode,hold_n,tp,sl,trail,n,total_ret,avg_ret,median_ret,win_rate,p95,p05,max_ret,min_ret
trail,10,0.95,,0.03,1559,16.05695359441673,0.010299521227977376,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.9494000000000001,-0.030600000000000138
trail,15,0.95,,0.03,1559,16.05695359441673,0.010299521227977376,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.9494000000000001,-0.030600000000000138
trail,20,0.95,,0.03,1559,16.05695359441673,0.010299521227977376,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.9494000000000001,-0.030600000000000138
trail,25,0.95,,0.03,1559,16.05695359441673,0.010299521227977376,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.9494000000000001,-0.030600000000000138
trail,30,0.95,,0.03,1559,16.05695359441673,0.010299521227977376,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.9494000000000001,-0.030600000000000138
trail,8,0.95,,0.03,1559,16.055973202259867,0.010298892368351423,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.948419607843137,-0.030600000000000138
trail,8,2.0,,0.03,1559,16.055973202259867,0.010298892368351423,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.948419607843137,-0.030600000000000138
trail,8,0.9,,0.03,1559,16.00695359441673,0.010267449387053706,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8993999999999999,-0.030600000000000138
trail,10,0.9,,0.03,1559,16.00695359441673,0.010267449387053706,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8993999999999999,-0.030600000000000138
trail,15,0.9,,0.03,1559,16.00695359441673,0.010267449387053706,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8993999999999999,-0.030600000000000138
trail,20,0.9,,0.03,1559,16.00695359441673,0.010267449387053706,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8993999999999999,-0.030600000000000138
trail,25,0.9,,0.03,1559,16.00695359441673,0.010267449387053706,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8993999999999999,-0.030600000000000138
trail,30,0.9,,0.03,1559,16.00695359441673,0.010267449387053706,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8993999999999999,-0.030600000000000138
trail,8,0.85,,0.03,1559,15.95695359441673,0.010235377546130037,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8493999999999998,-0.030600000000000138
trail,10,0.85,,0.03,1559,15.95695359441673,0.010235377546130037,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8493999999999998,-0.030600000000000138
trail,15,0.85,,0.03,1559,15.95695359441673,0.010235377546130037,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8493999999999998,-0.030600000000000138
trail,20,0.85,,0.03,1559,15.95695359441673,0.010235377546130037,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8493999999999998,-0.030600000000000138
trail,25,0.85,,0.03,1559,15.95695359441673,0.010235377546130037,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8493999999999998,-0.030600000000000138
trail,30,0.85,,0.03,1559,15.95695359441673,0.010235377546130037,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.8493999999999998,-0.030600000000000138
fixed,25,0.2,0.2,,1559,15.923737204115122,0.010214071330413806,-0.023896447291788147,0.4291212315586915,0.19939999999999997,-0.20059999999999983,0.19939999999999997,-0.20060000000000006
fixed,25,0.55,0.25,,1559,15.907603222584939,0.010203722400631776,-0.03349473684210531,0.3758819756254009,0.5493999999999998,-0.16871904761904769,0.5494000000000002,-0.2506000000000001
trail,8,0.8,,0.03,1559,15.90695359441673,0.01020330570520637,-0.00211248164464024,0.4759461193072482,0.0682887750811329,-0.030600000000000026,0.7994,-0.030600000000000138
