mode,hold_n,tp,sl,trail,n,total_ret,avg_ret,median_ret,win_rate,p95,p05,max_ret,min_ret
trail,20,0.9,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,3.0,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.35,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.4,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.45,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.5,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.55,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.6,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.65,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.7,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.75,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.8,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.85,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.9,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,3.0,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.35,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.4,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.45,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.5,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.55,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.6,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.65,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.7,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.75,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.8,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.85,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,0.9,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,30,3.0,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,25,0.5,,0.25,101,1.1348640777434849,0.011236277997460246,-0.02162102102102099,0.39603960396039606,0.4994,-0.14940952380952383,0.4994,-0.2506
fixed,30,0.75,0.25,,101,1.1318394839124635,0.011206331523885777,-0.03131017274472177,0.37623762376237624,0.3134655105973027,-0.16673418530351442,0.7494000000000002,-0.2506
fixed,30,0.8,0.2,,101,1.1148851040599324,0.011038466376831013,-0.033822591362126134,0.37623762376237624,0.3134655105973027,-0.17872500000000008,0.7994,-0.20059999999999995
trail,30,0.7,,0.25,101,1.1118400976303666,0.011008317798320462,-0.02417414448669204,0.38613861386138615,0.2862719611021071,-0.16673418530351442,0.6993999999999999,-0.2506
trail,25,0.55,,0.25,101,1.0900879583405003,0.010792950082579212,-0.02162102102102099,0.39603960396039606,0.5494,-0.14940952380952383,0.5494000000000002,-0.2506
trail,5,0.25,,0.03,101,1.0866693734967645,0.010759102707888758,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.2494,-0.030600000000000138
trail,8,0.25,,0.03,101,1.0866693734967645,0.010759102707888758,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.2494,-0.030600000000000138
trail,10,0.25,,0.03,101,1.0866693734967645,0.010759102707888758,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.2494,-0.030600000000000138
trail,15,0.25,,0.03,101,1.0866693734967645,0.010759102707888758,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.2494,-0.030600000000000138
trail,20,0.25,,0.03,101,1.0866693734967645,0.010759102707888758,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.2494,-0.030600000000000138
trail,25,0.25,,0.03,101,1.0866693734967645,0.010759102707888758,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.2494,-0.030600000000000138
trail,30,0.25,,0.03,101,1.0866693734967645,0.010759102707888758,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.2494,-0.030600000000000138
fixed,30,0.9,0.15,,101,1.0857362814940295,0.010749864173208213,-0.03945480572597122,0.36633663366336633,0.3134655105973027,-0.1506,0.8993999999999999,-0.15060000000000012
fixed,30,0.65,0.25,,101,1.083116933603969,0.01072393003568286,-0.03131017274472177,0.37623762376237624,0.46742325581395344,-0.16673418530351442,0.6493999999999999,-0.2506
trail,20,3.0,,0.25,101,1.0694276202393425,0.01058839227959745,-0.041860234598101134,0.3564356435643564,0.27442429543245866,-0.14747500000000008,1.1496145922746779,-0.2506
trail,3,0.25,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.3,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.35,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.4,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.45,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.5,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.55,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.6,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.65,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.7,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
trail,3,0.75,,0.03,101,1.0589507033126306,0.010484660428837927,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.21009182389937092,-0.030600000000000138
